Album,Artist Name,type
Die Lit,Playboi Carti,CD
Secret of the Runes,Therion,CD
in vain,Klangforum Wien / Sylvain Cambreling,CD
Siembra,Willie Colón & Rubén Blades,CD
Extensions,McCoy Tyner,CD
The Great Otis Redding Sings Soul Ballads,Otis Redding,CD
Aja,Steely Dan,CD
Seventeen Seconds,The Cure,CD
Num-Heavymetallic,Number Girl,CD
Richard D. James Album,Aphex Twin,CD
Inflammable Material,Stiff Little Fingers,CD
European Echoes,Manfred Schoof,CD
Bluffer's Guide to the Flight Deck,Flotation Toy Warning,CD
Arise,Sepultura,CD
Free for All,Art Blakey & The Jazz Messengers,CD
Te Deum,Estonian Philharmonic Chamber Choir / Tallinn Chamber Orchestra / Tõnu Kaljuste,CD
The Nocturnes,Artur Rubinstein,CD
Imaginary Day,Pat Metheny Group,CD
"Stories From the City, Stories From the Sea",PJ Harvey,CD
The Low Spark of High Heeled Boys,Traffic,CD
Music Has the Right to Children,Boards of Canada,CD
Concierto de Aranjuez,Paco de Lucía,CD
New Ancient Strings,Toumani Diabaté With Ballaké Sissoko,CD
Dead Magic,Anna von Hausswolff,CD
Peter Gabriel,Peter Gabriel,CD
Siren,平沢進 [Susumu Hirasawa],CD
Clube da Esquina 2,Milton Nascimento,CD
Diamond Eyes,Deftones,CD
Mother,Luna Sea,CD
Drums and Wires,XTC,CD
Teaser and the Firecat,Cat Stevens,CD
If You're Feeling Sinister,Belle and Sebastian,CD
Desire,Bob Dylan,CD
Magnetic South,Michael Nesmith & The First National Band,CD
Ragnarök,Ragnarök,CD
Parallels,Fates Warning,CD
The Stone Roses,The Stone Roses,CD
Canticles of Ecstasy,Sequentia,CD
Jeopardy,The Sound,CD
You're Living All Over Me,Dinosaur,CD
Jacques Brel,Jacques Brel,CD
Pastel Blues,Nina Simone,CD
Soundtracks,Can,CD
Silent Cries and Mighty Echoes,Eloy,CD
Ciudad de Brahman,Natas,CD
Rainmaker,Michael Chapman,CD
No Gods / No Managers,Choking Victim,CD
Denim and Leather,Saxon,CD
Showcase Vol 1,Wayne Jarrett,CD
Goodfellas,Show & A.G.,CD
Court in the Act,Satan,CD
Straight Ahead,Oliver Nelson with Eric Dolphy,CD
Mental Vortex,Coroner,CD
For Girls Who Grow Plump in the Night,Caravan,CD
Head Over Heels,Cocteau Twins,CD
Ample Destruction,Jag Panzer,CD
A Swingin' Affair!,Frank Sinatra,CD
Take a Look Around,Master Ace,CD
Unchained,Johnny Cash,CD
Twilight of the Gods,Bathory,CD
On the Beach,Neil Young,CD
Unfinished Masterpiece,Eddie Palmieri,CD
Jailbreak,Thin Lizzy,CD
Black Monk Time,Monks,CD
HEY WHAT,Low,CD
You Got My Mind Messed Up,James Carr,CD
Fire of Love,The Gun Club,CD
Sunrise on the Sufferbus,Masters of Reality,CD
Bottomless Pit,Death Grips,CD
A New World Record,Electric Light Orchestra,CD
Songs From the Big Chair,Tears for Fears,CD
Document,R.E.M.,CD
春と修羅 (Haru to Shura),春ねむり [Haru Nemuri],CD
Gal,Gal Costa,CD
Monomania,Car Seat Headrest,CD
Les cinq saisons,Harmonium,CD
Point of Departure,Andrew Hill,CD
Powerslave,Iron Maiden,CD
Legenda,Armia,CD
Doe or Die,AZ,CD
Take As Needed for Pain,Eyehategod,CD
A Handful of Beauty,Shakti With John McLaughlin,CD
The Book About My Idle Plot on a Vague Anxiety,toe,CD
Across the Dark,Insomnium,CD
Top Priority,Rory Gallagher,CD
救済の技法 (Kyuusai no gihou),平沢進 [Susumu Hirasawa],CD
Machine Gun,The Peter Brötzmann Octet,CD
Drowner Yellow Swans,Yellow Swans,CD
From Here We Go Sublime,The Field,CD
Endless Summer,Fennesz,CD
Minecraft: Volume Alpha,C418,CD
Workingman's Dead,Grateful Dead,CD
Black Antlers,Coil,CD
The Undertones,The Undertones,CD
Fantasma,Cornelius,CD
Imperial,Denzel Curry,CD
Dance Tonight! Revolution Tomorrow!,Orchid,CD
Nocturnes,Maurizio Pollini,CD
La Máquina de Hacer Pájaros,La Máquina de Hacer Pájaros,CD
Music for 18 Musicians,Steve Reich and Musicians,CD
Hidden History of the Human Race,Blood Incantation,CD
The Puppet Master,King Diamond,CD
Temple of the Dog,Temple of the Dog,CD
Painkiller,Judas Priest,CD
塊魂サウンドトラック「塊フォルテッシモ魂」 (Katamari Damacy Soundtrack: Katamari Fortissimo Damacy),三宅優 [Yuu Miyake],CD
One Beat,Sleater-Kinney,CD
Ready for Freddie,Freddie Hubbard,CD
L'isola di niente,Premiata Forneria Marconi,CD
A Saucerful of Secrets,Pink Floyd,CD
Yellow Magic Orchestra,Yellow Magic Orchestra,CD
Kaleidoscope,Siouxsie and The Banshees,CD
Reasonable Doubt,Jay-Z,CD
Transistor,Darren Korb,CD
Forgotten Legends,Drudkh,CD
Nebraska,Bruce Springsteen,CD
Selling England by the Pound,Genesis,CD
Louis Armstrong Plays W. C. Handy,Louis Armstrong,CD
Close to a World Below,Immolation,CD
Ella and Louis,Ella Fitzgerald & Louis Armstrong,CD
Taking Drugs to Make Music to Take Drugs To,Spacemen 3,CD
Music From Big Pink,The Band,CD
Русский альбом,БГ,CD
Streetcleaner,Godflesh,CD
Outward Bound,Eric Dolphy Quintet,CD
Paul's Boutique,Beastie Boys,CD
Jazz Samba Encore!,Stan Getz & Luiz Bonfá,CD
Edward Scissorhands,Danny Elfman,CD
Cartola,Cartola,CD
Crescent,John Coltrane Quartet,CD
The Captain and Me,The Doobie Brothers,CD
Depois do fim,Bacamarte,CD
Caetano Veloso,Caetano Veloso,CD
Specialist in All Styles,Orchestra Baobab,CD
The New Folk Sound of Terry Callier,Terry Callier,CD
Time of the Last Persecution,Bill Fay,CD
Darklands,The Jesus and Mary Chain,CD
Purple Sun,Tomasz Stanko Quintet,CD
Pistachio Island,Ilkae,CD
Discovery,Daft Punk,CD
The Black Light,Calexico,CD
Vacation,Bomb the Music Industry!,CD
Strange Days,The Doors,CD
Interplay,Bill Evans,CD
Einstein on the Beach,Philip Glass / Robert Wilson,CD
Souvenirs d'un autre monde,Alcest,CD
Aerial Ballet,Nilsson,CD
Stormcock,Roy Harper,CD
Blues for the Red Sun,Kyuss,CD
Stress: The Extinction Agenda,Organized Konfusion,CD
Horse Rotorvator,Coil,CD
The Dark Third,Pure Reason Revolution,CD
Parcel of Rogues,Steeleye Span,CD
Jane Doe,Converge,CD
Silent Hill,Akira Yamaoka,CD
In the Rectory of the Bizarre Reverend,Reverend Bizarre,CD
Original Pirate Material,The Streets,CD
Yerself Is Steam,Mercury Rev,CD
Burn the Sun,Ark,CD
Without You I'm Nothing,Placebo,CD
Song of the Marching Children,Earth & Fire,CD
99.9 F°,Suzanne Vega,CD
Préludes · Volume 1,Arturo Benedetti Michelangeli,CD
Witchcult Today,Electric Wizard,CD
Ladies of the Canyon,Joni Mitchell,CD
Lucinda Williams,Lucinda Williams,CD
Only Built 4 Cuban Linx...,Raekwon,CD
Master and Everyone,Bonnie 'Prince' Billy,CD
Elastic Rock,Nucleus,CD
Abraxas,Santana,CD
Confield,Autechre,CD
Revival,Gillian Welch,CD
Relatives in Descent,Protomartyr,CD
Stand Back! Here Comes Charley Musselwhite's South Side Band,Charley Musselwhite,CD
Parallel Lines,Blondie,CD
Blowout Comb,Digable Planets,CD
Milestones,Miles Davis,CD
Halloween,John Carpenter,CD
Choirs of the Eye,Kayo Dot,CD
"""Love and Theft""",Bob Dylan,CD
One of Us Is the Killer,The Dillinger Escape Plan,CD
Ágætis byrjun,Sigur Rós,CD
In Praise of Learning,Henry Cow,CD
Electr-o-Pura,Yo La Tengo,CD
Mandylion,The Gathering,CD
When the Kite String Pops,Acid Bath,CD
Basie,Count Basie and His Orchestra + Neal Hefti Arrangements,CD
Sing to God,Cardiacs,CD
Dah Shinin',Smif-n-Wessun,CD
Stardust,Willie Nelson,CD
Cuphead,Kristofer Maddigan,CD
New Amerykah Part One: 4th World War,Erykah Badu,CD
Tonight's the Night,Neil Young,CD
Change,The Dismemberment Plan,CD
Libertango,Astor Piazzolla,CD
Alucinação,Belchior,CD
What Color Is Love,Terry Callier,CD
Death or Glory,Running Wild,CD
Unholy Cult,Immolation,CD
Dead Heart in a Dead World,Nevermore,CD
L'aldilà,Fabio Frizzi,CD
Blood & Chocolate,Elvis Costello and The Attractions,CD
Madman Across the Water,Elton John,CD
Around the Fur,Deftones,CD
Moonshine,Bert Jansch,CD
The Blackening,Machine Head,CD
Volunteers,Jefferson Airplane,CD
Bad,Michael Jackson,CD
Chrono Cross,Yasunori Mitsuda,CD
Das Lied von der Erde,New Philharmonia Orchestra / Philharmonia Orchestra / Otto Klemperer / Christa Ludwig / Fritz Wunderlich,CD
Moonlight,Nicholas Britell,CD
Stillbirth Machine,Order From Chaos,CD
Africa / Brass,The John Coltrane Quartet,CD
Mutantes,Mutantes,CD
Liar,The Jesus Lizard,CD
