Series_Title,Director,type
Before Sunrise,Richard Linklater,DVD
Stalag 17,Billy Wilder,DVD
The Theory of Everything,James Marsh,DVD
Out of the Past,Jacques Tourneur,DVD
Det sjunde inseglet,Ingmar Bergman,DVD
The Terminator,James Cameron,DVD
Mononoke-hime,Hayao Miyazaki,DVD
Tôkyô monogatari,Yasujirô Ozu,DVD
The Shawshank Redemption,Frank Darabont,DVD
Hannah and Her Sisters,Woody Allen,DVD
The Nightmare Before Christmas,Henry Selick,DVD
Thor: Ragnarok,Taika Waititi,DVD
Schindler's List,Steven Spielberg,DVD
Guardians of the Galaxy,James Gunn,DVD
The Last Picture Show,Peter Bogdanovich,DVD
The Insider,Michael Mann,DVD
American Psycho,Mary Harron,DVD
Dunkirk,Christopher Nolan,DVD
The Shining,Stanley Kubrick,DVD
50/50,Jonathan Levine,DVD
Titanic,James Cameron,DVD
Harvey,Henry Koster,DVD
Chinatown,Roman Polanski,DVD
Bajrangi Bhaijaan,Kabir Khan,DVD
"Crna macka, beli macor",Emir Kusturica,DVD
The Departed,Martin Scorsese,DVD
Eternal Sunshine of the Spotless Mind,Michel Gondry,DVD
To Kill a Mockingbird,Robert Mulligan,DVD
Warrior,Gavin O'Connor,DVD
The Birds,Alfred Hitchcock,DVD
Atonement,Joe Wright,DVD
Trois couleurs: Bleu,Krzysztof Kieslowski,DVD
The Hobbit: The Desolation of Smaug,Peter Jackson,DVD
The Naked Gun: From the Files of Police Squad!,David Zucker,DVD
Ray,Taylor Hackford,DVD
Watership Down,Martin Rosen,DVD
The Sound of Music,Robert Wise,DVD
Harry Potter and the Sorcerer's Stone,Chris Columbus,DVD
Brokeback Mountain,Ang Lee,DVD
The Odd Couple,Gene Saks,DVD
Sherlock Holmes,Guy Ritchie,DVD
2001: A Space Odyssey,Stanley Kubrick,DVD
Manbiki kazoku,Hirokazu Koreeda,DVD
Annie Hall,Woody Allen,DVD
Jojo Rabbit,Taika Waititi,DVD
Dances with Wolves,Kevin Costner,DVD
Bound by Honor,Taylor Hackford,DVD
Nosferatu,F.W. Murnau,DVD
The Man Who Shot Liberty Valance,John Ford,DVD
Kari-gurashi no Arietti,Hiromasa Yonebayashi,DVD
Celda 211,Daniel Monzón,DVD
Ben-Hur,William Wyler,DVD
Key Largo,John Huston,DVD
Captain America: The Winter Soldier,Anthony Russo,DVD
En man som heter Ove,Hannes Holm,DVD
Who Framed Roger Rabbit,Robert Zemeckis,DVD
Down by Law,Jim Jarmusch,DVD
Le scaphandre et le papillon,Julian Schnabel,DVD
The Machinist,Brad Anderson,DVD
Deadpool,Tim Miller,DVD
The Dark Knight,Christopher Nolan,DVD
In Bruges,Martin McDonagh,DVD
The Godfather: Part II,Francis Ford Coppola,DVD
Forushande,Asghar Farhadi,DVD
Dà hóng denglong gaogao guà,Yimou Zhang,DVD
